"PointID"	"x"	"y"	"Conservative_1"	"Conservative_2"	"Conservative_3"	"Conservative_4"	"Surface_Sensitivity"	"Solution_Sensor"
0	9.997048334910803e-01	1.302066148840778e-05	8.550302868376909e+05	-1.134228223731585e+04	-3.009589300725582e+02	8.239697718659599e+00	-5.609850695178092e+09	0.000000000000000e+00	
1	9.988203787557283e-01	6.555628827921133e-05	4.462049622212775e+05	-5.587337417805871e+03	2.609473099088164e+02	3.001993118372530e+00	1.212845132664702e+09	0.000000000000000e+00	
2	9.973671315594627e-01	2.553902334427142e-04	3.360987159866526e+05	-4.044379348307564e+03	4.469947729718519e+02	2.089318589883512e+00	1.909501234453200e+08	0.000000000000000e+00	
3	9.953329930715561e-01	5.521556361765406e-04	2.515799844681894e+05	-2.884328246917924e+03	3.385948228695426e+02	1.394138424656031e+00	9.423508910943651e+07	0.000000000000000e+00	
4	9.927192482601753e-01	9.686106591457178e-04	1.987946815704051e+05	-2.175007234391770e+03	2.830012812012124e+02	1.035356955369130e+00	4.324389403047064e+07	0.000000000000000e+00	
5	9.895372558349326e-01	1.495363587849302e-03	1.588958681032128e+05	-1.650982835085475e+03	2.222611456335515e+02	7.952765167536328e-01	2.471575789193117e+07	0.000000000000000e+00	
6	9.857991510191344e-01	2.133298282344550e-03	1.287557185263449e+05	-1.264089353556245e+03	1.773469089161217e+02	6.292788466680665e-01	1.544477189408849e+07	0.000000000000000e+00	
7	9.814814460059400e-01	2.883360472483543e-03	1.054466239806345e+05	-9.699788900382086e+02	1.376494869604057e+02	5.083783848981740e-01	1.007742932934297e+07	0.000000000000000e+00	
8	9.766188928112953e-01	3.738140394679198e-03	8.702813684754170e+04	-7.423683574098341e+02	1.071166602696512e+02	4.160777675081365e-01	6.966796969830028e+06	0.000000000000000e+00	
9	9.711883104599029e-01	4.700874791456598e-03	7.242937301258279e+04	-5.656116955285333e+02	8.183342841215070e+01	3.453822714193906e-01	4.914740187290710e+06	0.000000000000000e+00	
