"PointID"	"x"	"y"	"Conservative_1"	"Conservative_2"	"Conservative_3"	"Conservative_4"	"Pressure"	"Temperature"	"C<sub>p</sub>"	"Mach"
0	9.997416148287330e-01	-1.248434153467528e-05	1.292865184722365e+00	5.282747798895676e+00	-7.258724370417285e-03	2.534830069732662e+05	1.013888856373983e+05	2.731916709522417e+02	1.043006352078840e+00	1.233174326894926e-02	
1	9.989670158034801e-01	-5.687263865270558e-05	1.292550038773824e+00	6.226179247746970e+00	5.396769993578798e-01	2.534364302274103e+05	1.013685287567616e+05	2.732034149323588e+02	7.106569120911681e-01	1.459176136698341e-02	
2	9.976949455814130e-01	-2.239827360409576e-04	1.292510391181352e+00	6.998777983999316e+00	9.637189776768962e-01	2.534289172602858e+05	1.013638436938596e+05	2.731991680767435e+02	6.341678831690986e-01	1.649598975137474e-02	
3	9.959156925669366e-01	-4.964044839837454e-04	1.292540581024773e+00	7.586210741151260e+00	1.195682401894090e+00	2.534296005034653e+05	1.013627139502368e+05	2.731897421183877e+02	6.157235219199553e-01	1.793197304388802e-02	
4	9.936301692020957e-01	-8.787582123329290e-04	1.292524481730665e+00	8.008948734114167e+00	1.362247747126886e+00	2.534232015522232e+05	1.013590682063960e+05	2.731833188655228e+02	5.562025694984503e-01	1.896941318384366e-02	
5	9.908484807101698e-01	-1.365438069628125e-03	1.292505755063982e+00	8.356629259478947e+00	1.479545340709246e+00	2.534202415236004e+05	1.013569520080775e+05	2.731815732558620e+02	5.216532031874581e-01	1.981647859927751e-02	
6	9.875809674280921e-01	-1.954734900943043e-03	1.292475200227516e+00	8.645816778646211e+00	1.572941186059856e+00	2.534168702025825e+05	1.013547982514763e+05	2.731822263872742e+02	4.864906548060405e-01	2.052010992869669e-02	
7	9.838074535088545e-01	-2.649855305405379e-03	1.292448042839575e+00	8.905781833034194e+00	1.648858974970964e+00	2.534140580972331e+05	1.013529292375473e+05	2.731829289206160e+02	4.559768573472402e-01	2.114959726606039e-02	
8	9.795582316937752e-01	-3.443540915135808e-03	1.292425829931818e+00	9.138707769033942e+00	1.713855306623947e+00	2.534116776352788e+05	1.013512926028770e+05	2.731832127122013e+02	4.292569179893234e-01	2.171247134726929e-02	
9	9.748131525118086e-01	-4.339413184792190e-03	1.292407995905362e+00	9.353168510503785e+00	1.769803147498827e+00	2.534093437031058e+05	1.013497149798876e+05	2.731827299877700e+02	4.035004120498673e-01	2.222912990360822e-02	
10	9.696024751865046e-01	-5.329376754304244e-03	1.292395393433695e+00	9.548914567525642e+00	1.815725027572489e+00	2.534076229137763e+05	1.013484284654873e+05	2.731819260966009e+02	3.824965879322724e-01	2.269846863513372e-02	
11	9.639057104765907e-01	-6.415570084820364e-03	1.292379749465769e+00	9.730848068253255e+00	1.856956089049993e+00	2.534056252670960e+05	1.013470629778100e+05	2.731815522233769e+02	3.602034344301507e-01	2.313413374109616e-02	
12	9.577432724387827e-01	-7.593862400948281e-03	1.292365044939177e+00	9.898733290229240e+00	1.891910974838980e+00	2.534037553400632e+05	1.013457845571128e+05	2.731812144534078e+02	3.393317493043584e-01	2.353482452274069e-02	
13	9.511148510833984e-01	-8.861298928747765e-03	1.292349218240991e+00	1.005610880014104e+01	1.920916186039368e+00	2.534021900658945e+05	1.013446551409013e+05	2.731815155358228e+02	3.208927334211196e-01	2.390880326989706e-02	
14	9.440303725766064e-01	-1.021398867285867e-02	1.292332511660359e+00	1.020287148494830e+01	1.945231254164389e+00	2.534005467631233e+05	1.013435229229801e+05	2.731819950686989e+02	3.024079764102111e-01	2.425640146226931e-02	
15	9.364999105215672e-01	-1.164847793064896e-02	1.292316359602598e+00	1.034249296829952e+01	1.965843668829189e+00	2.533990369960007e+05	1.013424623881090e+05	2.731825506250286e+02	2.850935274643215e-01	2.458599768603070e-02	
16	9.285333080678799e-01	-1.316010020529309e-02	1.292299740288938e+00	1.047355310770989e+01	1.982433726244808e+00	2.533975902032112e+05	1.013414510962169e+05	2.731833377127994e+02	2.685830266653995e-01	2.489421447983185e-02	
17	9.201203619077606e-01	-1.474948161672333e-02	1.292283860197732e+00	1.059916627452953e+01	1.996606027365465e+00	2.533959952815720e+05	1.013403945199311e+05	2.731838464784832e+02	2.513332061676987e-01	2.518890442616298e-02	
18	9.112912035558806e-01	-1.640821739388332e-02	1.292270199290023e+00	1.071818589207844e+01	2.005590848036912e+00	2.533948492772353e+05	1.013395376919460e+05	2.731844245922276e+02	2.373445059288766e-01	2.546620681583247e-02	
19	9.020351589875942e-01	-1.813405641117694e-02	1.292259847954831e+00	1.083194961100023e+01	2.012659694233934e+00	2.533934904956311e+05	1.013386102038393e+05	2.731841125889007e+02	2.222021981079399e-01	2.573064107895126e-02	
20	8.923727493074628e-01	-1.992345382843449e-02	1.292247245330987e+00	1.094011923366192e+01	2.016546604788299e+00	2.533920895413573e+05	1.013376827218850e+05	2.731842765243435e+02	2.070599907342016e-01	2.598094701943187e-02	
21	8.823133703943487e-01	-2.176927078251327e-02	1.292240242718673e+00	1.104460141833124e+01	2.016559968476008e+00	2.533910111444384e+05	1.013368957425335e+05	2.731836353659207e+02	1.942116496035367e-01	2.622113707924625e-02	
22	8.718567927930045e-01	-2.366943576830250e-02	1.292232398837489e+00	1.114385945513879e+01	2.014556157364257e+00	2.533897411785776e+05	1.013360480230896e+05	2.731830083041716e+02	1.803716567553193e-01	2.644857532214060e-02	
