"PointID"	"x"	"y"	"Conservative_1"	"Conservative_2"	"Conservative_3"	"Conservative_4"	"Surface_Sensitivity"	"Solution_Sensor"
0	9.997357036010733e-01	-5.557166880733036e-06	-7.189649911123130e+00	4.480136360967394e-01	8.839943455109475e-02	-1.027127095119686e-04	-3.551473492856063e+04	0.000000000000000e+00	
1	9.989428861861970e-01	-2.556210674487283e-05	-6.487281350571737e+00	3.952062867401091e-01	6.760339238044996e-02	-7.752308016186133e-05	-4.087685898512997e+03	0.000000000000000e+00	
2	9.976337286737863e-01	-9.946711412263948e-05	-6.055608116857024e+00	3.657491697529209e-01	5.119405629456557e-02	-6.993939218063757e-05	6.182035583524350e+02	0.000000000000000e+00	
3	9.957979394296166e-01	-2.206859765670625e-04	-5.532289675100402e+00	3.343564402793920e-01	4.588584508751307e-02	-6.247226381060297e-05	-1.564859428531678e+02	0.000000000000000e+00	
4	9.934355853964740e-01	-3.899464629596107e-04	-5.045665238369757e+00	3.085372897401982e-01	3.996279734359682e-02	-5.721694863013034e-05	-1.835756646407135e+01	0.000000000000000e+00	
5	9.905573478591631e-01	-6.055361858720890e-04	-4.567383063042423e+00	2.852419101115562e-01	3.581658305347576e-02	-5.237371874988507e-05	-4.088654600353292e+01	0.000000000000000e+00	
6	9.871739419818396e-01	-8.673556483906333e-04	-4.131415991300549e+00	2.654460846519408e-01	3.233755600934222e-02	-4.822261047535880e-05	-2.723346309349251e+01	0.000000000000000e+00	
7	9.832644323723821e-01	-1.176513504499395e-03	-3.732941730302999e+00	2.483977631294584e-01	2.975858666192044e-02	-4.450185217268795e-05	-2.871647942776000e+01	0.000000000000000e+00	
8	9.788603298142907e-01	-1.528421619312711e-03	-3.375305972184180e+00	2.338340802514177e-01	2.754008825722642e-02	-4.132905303591811e-05	-2.165288947913516e+01	0.000000000000000e+00	
9	9.739409122517673e-01	-1.926722516307092e-03	-3.051336669153694e+00	2.211612375769200e-01	2.579852117358998e-02	-3.852170429044559e-05	-2.195895560312247e+01	0.000000000000000e+00	
10	9.685377397133903e-01	-2.365700626155543e-03	-2.763589751962327e+00	2.102750196537179e-01	2.448712488114542e-02	-3.596802415961365e-05	-1.886179328222503e+01	0.000000000000000e+00	
11	9.626299104642388e-01	-2.847252015510561e-03	-2.507433843411851e+00	2.008874396572602e-01	2.331815769070921e-02	-3.378540644564110e-05	-1.698357006433093e+01	0.000000000000000e+00	
12	9.562386666463393e-01	-3.369983293184094e-03	-2.279480640838567e+00	1.927457482740711e-01	2.240488725107176e-02	-3.181346235576079e-05	-1.538294125866796e+01	0.000000000000000e+00	
13	9.493641165104522e-01	-3.932087246362281e-03	-2.078337338561385e+00	1.857204527513018e-01	2.179535930152948e-02	-3.002039968320408e-05	-1.495281895815724e+01	0.000000000000000e+00	
14	9.420168187706579e-01	-4.531257334026620e-03	-1.903498665513989e+00	1.797481504359133e-01	2.130487529793995e-02	-2.843849383499211e-05	-1.340033153180367e+01	0.000000000000000e+00	
15	9.342075217332994e-01	-5.166730603959076e-03	-1.754817271843861e+00	1.747562989775064e-01	2.104025054200518e-02	-2.701111320045353e-05	-1.150694106764796e+01	0.000000000000000e+00	
16	9.259468543585444e-01	-5.836302706176592e-03	-1.623507690834435e+00	1.703947403644036e-01	2.085609485715570e-02	-2.575993686779984e-05	-1.181690539256843e+01	0.000000000000000e+00	
17	9.172244187560187e-01	-6.540028235212316e-03	-1.515597103958952e+00	1.668201729517375e-01	2.091861399045468e-02	-2.460000834405882e-05	-9.045854884035069e+00	0.000000000000000e+00	
18	9.080718307825824e-01	-7.273730593604813e-03	-1.419350257041439e+00	1.635657603739088e-01	2.102298108126811e-02	-2.360380236650861e-05	-1.004485258746389e+01	0.000000000000000e+00	
19	8.984787181762048e-01	-8.036996141421213e-03	-1.342968537170671e+00	1.609012954829466e-01	2.133414504053705e-02	-2.263847528028959e-05	-7.792723748530078e+00	0.000000000000000e+00	
20	8.884661516539015e-01	-8.826486819458848e-03	-1.275226381460288e+00	1.584259566757023e-01	2.170684803166419e-02	-2.178627711018235e-05	-8.267104422580408e+00	0.000000000000000e+00	
21	8.780448098011437e-01	-9.640793744149594e-03	-1.219520806527328e+00	1.562814255589944e-01	2.207304376528409e-02	-2.098903514734247e-05	-7.171488129300660e+00	0.000000000000000e+00	
22	8.672147562523441e-01	-1.047910025910342e-02	-1.172723703796155e+00	1.543658680355204e-01	2.259800662539156e-02	-2.025263167570788e-05	-5.779054360869422e+00	0.000000000000000e+00	
23	8.559971071904262e-01	-1.133730230228045e-02	-1.131005839040743e+00	1.525785886639364e-01	2.315257110213020e-02	-1.962126618287915e-05	-5.778115182934263e+00	0.000000000000000e+00	
24	8.444130077177932e-01	-1.221350013167784e-02	-1.095606666391884e+00	1.510212345073328e-01	2.387114039247177e-02	-1.912886299231983e-05	-2.225403321262372e+00	0.000000000000000e+00	
25	8.324413973426005e-01	-1.310596977327213e-02	-1.047080019030920e+00	1.490368059262516e-01	2.457119402591254e-02	-1.878757809021917e-05	-3.075016796037758e+00	0.000000000000000e+00	
26	8.201244484904462e-01	-1.401190460466041e-02	-1.005924946133771e+00	1.473908650550375e-01	2.524905280380111e-02	-1.864232649848491e-05	9.766759169053336e-01	0.000000000000000e+00	
27	8.074727203005155e-01	-1.492882669875185e-02	-9.629573954207525e-01	1.457354227348448e-01	2.607803697029137e-02	-1.855071860013163e-05	-1.698394095552812e+00	0.000000000000000e+00	
28	7.944757273146087e-01	-1.585486001455398e-02	-9.316135657682528e-01	1.444675812971427e-01	2.698302774600466e-02	-1.848521682341988e-05	5.595371488432411e-01	0.000000000000000e+00	
29	7.811650424175004e-01	-1.678646822301906e-02	-9.063279024104272e-01	1.433565679031689e-01	2.800175321694889e-02	-1.844294395638044e-05	-2.900824382823130e-01	0.000000000000000e+00	
30	7.675511882138075e-01	-1.772162649402171e-02	-8.854108818333819e-01	1.424650758267527e-01	2.900981641484073e-02	-1.839712074095374e-05	-7.838264967586995e-01	0.000000000000000e+00	
31	7.536552746574462e-01	-1.865774455984773e-02	-8.744642136068449e-01	1.416662936720507e-01	3.019780253161895e-02	-1.835257544856501e-05	3.157801406858278e-01	0.000000000000000e+00	
32	7.394773500671808e-01	-1.959235388314169e-02	-8.539231069060661e-01	1.409880325773881e-01	3.138060328419928e-02	-1.835731426492915e-05	-1.187719527678154e+00	0.000000000000000e+00	
33	7.250279360501072e-01	-2.052340930840243e-02	-8.382506767205316e-01	1.403467474932351e-01	3.271291651819122e-02	-1.833583761674903e-05	-1.177298923514190e-01	0.000000000000000e+00	
34	7.103384694505754e-01	-2.144677560165198e-02	-8.195819103085908e-01	1.399362324163868e-01	3.399733977505848e-02	-1.836456643457956e-05	-1.101273365649193e+00	0.000000000000000e+00	
35	6.954197099720223e-01	-2.236134828822819e-02	-8.116122611452693e-01	1.395275959957748e-01	3.541959995074174e-02	-1.835082305424262e-05	2.716765251325707e-01	0.000000000000000e+00	
