"Point","Sensitivity","PsiRho","Phi_x","Phi_y","PsiE","x_coord","y_coord"
199, 9.263518066678719e+00, -8.346961761377727e+00, 5.434556408761460e-01, 3.543766865056288e-01, -1.707791814164597e-04, 1.000000000000000e+00, 0.000000000000000e+00
0, -1.877704571736907e+01, -7.189649911123130e+00, 4.480136360967394e-01, 8.839943455109475e-02, -1.027127095119686e-04, 9.997357036010733e-01, -5.557166880733036e-06
1, -4.300392086624580e+00, -6.487281350571737e+00, 3.952062867401091e-01, 6.760339238044996e-02, -7.752308016186133e-05, 9.989428861861970e-01, -2.556210674487283e-05
2, 9.739778632599910e-01, -6.055608116857024e+00, 3.657491697529209e-01, 5.119405629456557e-02, -6.993939218063757e-05, 9.976337286737863e-01, -9.946711412263948e-05
3, -3.292605662198776e-01, -5.532289675100402e+00, 3.343564402793920e-01, 4.588584508751307e-02, -6.247226381060297e-05, 9.957979394296166e-01, -2.206859765670625e-04
4, -4.823178509042314e-02, -5.045665238369757e+00, 3.085372897401982e-01, 3.996279734359682e-02, -5.721694863013034e-05, 9.934355853964740e-01, -3.899464629596107e-04
5, -1.283800071938918e-01, -4.567383063042423e+00, 2.852419101115562e-01, 3.581658305347576e-02, -5.237371874988507e-05, 9.905573478591631e-01, -6.055361858720890e-04
6, -9.960956168398567e-02, -4.131415991300549e+00, 2.654460846519408e-01, 3.233755600934222e-02, -4.822261047535880e-05, 9.871739419818396e-01, -8.673556483906333e-04
7, -1.197456149473178e-01, -3.732941730302999e+00, 2.483977631294584e-01, 2.975858666192044e-02, -4.450185217268795e-05, 9.832644323723821e-01, -1.176513504499395e-03
8, -1.012668168993034e-01, -3.375305972184180e+00, 2.338340802514177e-01, 2.754008825722642e-02, -4.132905303591811e-05, 9.788603298142907e-01, -1.528421619312711e-03
9, -1.137088612838283e-01, -3.051336669153694e+00, 2.211612375769200e-01, 2.579852117358998e-02, -3.852170429044559e-05, 9.739409122517673e-01, -1.926722516307092e-03
10, -1.070255680940414e-01, -2.763589751962327e+00, 2.102750196537179e-01, 2.448712488114542e-02, -3.596802415961365e-05, 9.685377397133903e-01, -2.365700626155543e-03
11, -1.047886899131346e-01, -2.507433843411851e+00, 2.008874396572602e-01, 2.331815769070921e-02, -3.378540644564110e-05, 9.626299104642388e-01, -2.847252015510561e-03
12, -1.023740683296423e-01, -2.279480640838567e+00, 1.927457482740711e-01, 2.240488725107176e-02, -3.181346235576079e-05, 9.562386666463393e-01, -3.369983293184094e-03
13, -1.066822369397411e-01, -2.078337338561385e+00, 1.857204527513018e-01, 2.179535930152948e-02, -3.002039968320408e-05, 9.493641165104522e-01, -3.932087246362281e-03
14, -1.018880682600300e-01, -1.903498665513989e+00, 1.797481504359133e-01, 2.130487529793995e-02, -2.843849383499211e-05, 9.420168187706579e-01, -4.531257334026620e-03
15, -9.276245079131298e-02, -1.754817271843861e+00, 1.747562989775064e-01, 2.104025054200518e-02, -2.701111320045353e-05, 9.342075217332994e-01, -5.166730603959076e-03
16, -1.006713881481028e-01, -1.623507690834435e+00, 1.703947403644036e-01, 2.085609485715570e-02, -2.575993686779984e-05, 9.259468543585444e-01, -5.836302706176592e-03
17, -8.110841916381142e-02, -1.515597103958952e+00, 1.668201729517375e-01, 2.091861399045468e-02, -2.460000834405882e-05, 9.172244187560187e-01, -6.540028235212316e-03
18, -9.444861977856100e-02, -1.419350257041439e+00, 1.635657603739088e-01, 2.102298108126811e-02, -2.360380236650861e-05, 9.080718307825824e-01, -7.273730593604813e-03
19, -7.663002802746538e-02, -1.342968537170671e+00, 1.609012954829466e-01, 2.133414504053705e-02, -2.263847528028959e-05, 8.984787181762048e-01, -8.036996141421213e-03
20, -8.472438806834472e-02, -1.275226381460288e+00, 1.584259566757023e-01, 2.170684803166419e-02, -2.178627711018235e-05, 8.884661516539015e-01, -8.826486819458848e-03
21, -7.643212926167009e-02, -1.219520806527328e+00, 1.562814255589944e-01, 2.207304376528409e-02, -2.098903514734247e-05, 8.780448098011437e-01, -9.640793744149594e-03
22, -6.389575929122955e-02, -1.172723703796155e+00, 1.543658680355204e-01, 2.259800662539156e-02, -2.025263167570788e-05, 8.672147562523441e-01, -1.047910025910342e-02
23, -6.606586071706523e-02, -1.131005839040743e+00, 1.525785886639364e-01, 2.315257110213020e-02, -1.962126618287915e-05, 8.559971071904262e-01, -1.133730230228045e-02
