"Global_Index", "x_coord", "y_coord", "Pressure", "C<sub>p</sub>", "Mach"
199, 1.000000000000000e+00, 0.000000000000000e+00, 1.012170512057031e+05, -1.762387959737785e+00, 9.273786584606321e-03
0, 9.997416148287330e-01, -1.248434153467528e-05, 1.013888856373983e+05, 1.043006352078840e+00, 1.233174326894926e-02
1, 9.989670158034801e-01, -5.687263865270558e-05, 1.013685287567616e+05, 7.106569120911681e-01, 1.459176136698341e-02
2, 9.976949455814130e-01, -2.239827360409576e-04, 1.013638436938596e+05, 6.341678831690986e-01, 1.649598975137474e-02
3, 9.959156925669366e-01, -4.964044839837454e-04, 1.013627139502368e+05, 6.157235219199553e-01, 1.793197304388802e-02
4, 9.936301692020957e-01, -8.787582123329290e-04, 1.013590682063960e+05, 5.562025694984503e-01, 1.896941318384366e-02
5, 9.908484807101698e-01, -1.365438069628125e-03, 1.013569520080775e+05, 5.216532031874581e-01, 1.981647859927751e-02
6, 9.875809674280921e-01, -1.954734900943043e-03, 1.013547982514763e+05, 4.864906548060405e-01, 2.052010992869669e-02
7, 9.838074535088545e-01, -2.649855305405379e-03, 1.013529292375473e+05, 4.559768573472402e-01, 2.114959726606039e-02
8, 9.795582316937752e-01, -3.443540915135808e-03, 1.013512926028770e+05, 4.292569179893234e-01, 2.171247134726929e-02
9, 9.748131525118086e-01, -4.339413184792190e-03, 1.013497149798876e+05, 4.035004120498673e-01, 2.222912990360822e-02
10, 9.696024751865046e-01, -5.329376754304244e-03, 1.013484284654873e+05, 3.824965879322724e-01, 2.269846863513372e-02
11, 9.639057104765907e-01, -6.415570084820364e-03, 1.013470629778100e+05, 3.602034344301507e-01, 2.313413374109616e-02
12, 9.577432724387827e-01, -7.593862400948281e-03, 1.013457845571128e+05, 3.393317493043584e-01, 2.353482452274069e-02
13, 9.511148510833984e-01, -8.861298928747765e-03, 1.013446551409013e+05, 3.208927334211196e-01, 2.390880326989706e-02
14, 9.440303725766064e-01, -1.021398867285867e-02, 1.013435229229801e+05, 3.024079764102111e-01, 2.425640146226931e-02
15, 9.364999105215672e-01, -1.164847793064896e-02, 1.013424623881090e+05, 2.850935274643215e-01, 2.458599768603070e-02
16, 9.285333080678799e-01, -1.316010020529309e-02, 1.013414510962169e+05, 2.685830266653995e-01, 2.489421447983185e-02
17, 9.201203619077606e-01, -1.474948161672333e-02, 1.013403945199311e+05, 2.513332061676987e-01, 2.518890442616298e-02
18, 9.112912035558806e-01, -1.640821739388332e-02, 1.013395376919460e+05, 2.373445059288766e-01, 2.546620681583247e-02
19, 9.020351589875942e-01, -1.813405641117694e-02, 1.013386102038393e+05, 2.222021981079399e-01, 2.573064107895126e-02
20, 8.923727493074628e-01, -1.992345382843449e-02, 1.013376827218850e+05, 2.070599907342016e-01, 2.598094701943187e-02
21, 8.823133703943487e-01, -2.176927078251327e-02, 1.013368957425335e+05, 1.942116496035367e-01, 2.622113707924625e-02
22, 8.718567927930045e-01, -2.366943576830250e-02, 1.013360480230896e+05, 1.803716567553193e-01, 2.644857532214060e-02
23, 8.610232389532305e-01, -2.561814644257597e-02, 1.013352484648289e+05, 1.673179504951810e-01, 2.667029041439237e-02
24, 8.498324852315075e-01, -2.760784887076017e-02, 1.013344804593577e+05, 1.547793797379570e-01, 2.688068720332297e-02
25, 8.382639191343934e-01, -2.963904194924040e-02, 1.013337315998369e+05, 1.425533885959857e-01, 2.708313292332017e-02
26, 8.263576938108586e-01, -3.170102337321781e-02, 1.013330288677993e+05, 1.310804815564277e-01, 2.727631839640756e-02
27, 8.141238488873572e-01, -3.379004459881564e-02, 1.013322935310034e+05, 1.190752644167772e-01, 2.746524438851886e-02
28, 8.015518211493977e-01, -3.590387498908559e-02, 1.013316424608960e+05, 1.084457976804884e-01, 2.764525767558533e-02
29, 7.886715403195000e-01, -3.803280885859656e-02, 1.013309978498444e+05, 9.792178244205685e-02, 2.781849047944433e-02
30, 7.754930953534189e-01, -4.017354303668059e-02, 1.013303266395214e+05, 8.696350357221207e-02, 2.798629846205898e-02
31, 7.620364572501371e-01, -4.231891564224660e-02, 1.013297322503634e+05, 7.725941838649970e-02, 2.815046372483579e-02
32, 7.483013436628907e-01, -4.446518040327355e-02, 1.013291197736371e+05, 6.726003289061230e-02, 2.830976494160107e-02
33, 7.342973610698528e-01, -4.660570230261644e-02, 1.013286008772486e+05, 5.878845381114015e-02, 2.846137432171832e-02
34, 7.200549685389079e-01, -4.873406930288691e-02, 1.013279678627728e+05, 4.845376598300735e-02, 2.860871331459984e-02
35, 7.055841928483778e-01, -5.084491298788441e-02, 1.013274767835535e+05, 4.043633411632613e-02, 2.874885391232253e-02
36, 6.908846133461971e-01, -5.293372018289613e-02, 1.013269439103887e+05, 3.173656812160947e-02, 2.888663016206768e-02
37, 6.759865862408967e-01, -5.499255898793516e-02, 1.013264575137409e+05, 2.379558460831678e-02, 2.901644617419874e-02
38, 6.609002156706211e-01, -5.701692991470075e-02, 1.013259309571749e+05, 1.519894434016589e-02, 2.914511579545630e-02
39, 6.456355252485066e-01, -5.900145154561733e-02, 1.013255076789365e+05, 8.288441301955170e-03, 2.926270100238188e-02
40, 6.302127793492102e-01, -6.093943171399753e-02, 1.013250584026427e+05, 9.534901704761848e-04, 2.937948913144789e-02
41, 6.146523557452248e-01, -6.282583967430862e-02, 1.013246354828433e+05, -5.951160938852716e-03, 2.948576822276187e-02
42, 5.989643848608603e-01, -6.465489813737274e-02, 1.013242319132358e+05, -1.253989795888624e-02, 2.959131032130359e-02
43, 5.831591367001354e-01, -6.642223382262352e-02, 1.013238388217066e+05, -1.895756832402464e-02, 2.968525134076068e-02
44, 5.672569959317854e-01, -6.812155581375809e-02, 1.013234952455273e+05, -2.456684377339977e-02, 2.977870516301588e-02
45, 5.512682093067229e-01, -6.974823747730866e-02, 1.013231697759633e+05, -2.988050794748422e-02, 2.986116453753832e-02
46, 5.352236389644195e-01, -7.129549996947701e-02, 1.013228677486670e+05, -3.481145019616261e-02, 2.994199427143096e-02
47, 5.191235117243063e-01, -7.276131497576685e-02, 1.013225652827163e+05, -3.974955398187882e-02, 3.001277866179636e-02
48, 5.029985582093637e-01, -7.413820585336775e-02, 1.013223431257427e+05, -4.337652154522755e-02, 3.008049114117721e-02
49, 4.868491346628644e-01, -7.542356012669302e-02, 1.013221110622383e+05, -4.716522459412447e-02, 3.013686854041933e-02
50, 4.707060839314238e-01, -7.661074447296239e-02, 1.013219577768899e+05, -4.966778383204241e-02, 3.018699278456916e-02
51, 4.545800843681048e-01, -7.769756727580600e-02, 1.013217579523625e+05, -5.293014858001169e-02, 3.022627156801553e-02
52, 4.384816515469572e-01, -7.867903534766631e-02, 1.013216950691666e+05, -5.395678892490395e-02, 3.025750019480800e-02
53, 4.224418689743417e-01, -7.955049953473359e-02, 1.013215643127587e+05, -5.609153735330461e-02, 3.027916280230224e-02
54, 4.064612180310936e-01, -8.031030638103621e-02, 1.013215417821462e+05, -5.645937546086186e-02, 3.029154632037576e-02
55, 3.905605568718227e-01, -8.095254352187008e-02, 1.013215512383177e+05, -5.630499260837198e-02, 3.029500721383082e-02
56, 3.747608885365783e-01, -8.147541643663407e-02, 1.013215976841041e+05, -5.554671183813360e-02, 3.028618044033100e-02
57, 3.590832151497196e-01, -8.187528529044107e-02, 1.013216595249317e+05, -5.453708935274397e-02, 3.026977177312805e-02
58, 3.435280756883607e-01, -8.215083528196925e-02, 1.013217944494664e+05, -5.233429147144462e-02, 3.024153601937271e-02
59, 3.281165142563960e-01, -8.229700017138208e-02, 1.013220035247829e+05, -4.892089697341858e-02, 3.020275303991992e-02
60, 3.128798592077777e-01, -8.231271131593720e-02, 1.013222250579387e+05, -4.530411395142181e-02, 3.015071416292270e-02
61, 2.978187434551887e-01, -8.219679959165108e-02, 1.013224954665584e+05, -4.088938288722502e-02, 3.008614318160685e-02
62, 2.829440961466311e-01, -8.194566211971108e-02, 1.013229005646136e+05, -3.427569220551589e-02, 3.000617405503066e-02
63, 2.682873429389870e-01, -8.155886124228423e-02, 1.013232608721272e+05, -2.839325852070974e-02, 2.990913645272449e-02
64, 2.538594070478453e-01, -8.103496360722863e-02, 1.013238074549561e+05, -1.946966652549547e-02, 2.979428801872203e-02
121, 1.030446200609936e-01, 8.606057275801977e-02, 1.012234820029262e+05, -1.657397814443398e+00, 4.745635583086109e-02
122, 1.129519837659149e-01, 8.937543094549402e-02, 1.012244234934610e+05, -1.642026900913631e+00, 4.732765673754134e-02
123, 1.233057258867997e-01, 9.255220439152610e-02, 1.012256588595987e+05, -1.621858130886125e+00, 4.717378124228673e-02
124, 1.340731230790905e-01, 9.557599870692406e-02, 1.012267834165676e+05, -1.603498447714143e+00, 4.699329244416187e-02
125, 1.452410742686051e-01, 9.843934822744800e-02, 1.012282321796669e+05, -1.579845727373805e+00, 4.680039774008279e-02
126, 1.568063148760220e-01, 1.011382942193226e-01, 1.012295947114540e+05, -1.557600832171238e+00, 4.658060588801197e-02
127, 1.687556985080416e-01, 1.036669308737911e-01, 1.012311980107892e+05, -1.531425130416872e+00, 4.635097364712231e-02
128, 1.810659085543001e-01, 1.060188007467164e-01, 1.012327047944404e+05, -1.506825157975505e+00, 4.609413761422774e-02
129, 1.937237911018227e-01, 1.081898381457295e-01, 1.012344182270942e+05, -1.478851403395067e+00, 4.582983950726695e-02
130, 2.067062403582195e-01, 1.101744909376161e-01, 1.012360225625784e+05, -1.452658785319824e+00, 4.554175374979604e-02
131, 2.200101998527343e-01, 1.119728866127895e-01, 1.012378786395314e+05, -1.422356198842404e+00, 4.524854547057362e-02
132, 2.336127728746143e-01, 1.135801262510170e-01, 1.012395027800132e+05, -1.395840241450390e+00, 4.494162487642097e-02
133, 2.475009871604816e-01, 1.149953748606503e-01, 1.012414490576082e+05, -1.364065025970340e+00, 4.462981391377448e-02
134, 2.616620825216949e-01, 1.162172617807285e-01, 1.012431353603723e+05, -1.336534197976448e+00, 4.431099629469457e-02
135, 2.760629186057590e-01, 1.172446926954896e-01, 1.012451372326421e+05, -1.303851335622271e+00, 4.398942551878200e-02
136, 2.907010609781963e-01, 1.180781541119850e-01, 1.012468176783575e+05, -1.276416130671520e+00, 4.366373919809858e-02
137, 3.055641223658986e-01, 1.187165727373635e-01, 1.012487868902852e+05, -1.244266485885897e+00, 4.332925143535614e-02
138, 3.206190789701184e-01, 1.191624649449146e-01, 1.012506203088355e+05, -1.214333823837553e+00, 4.299797827242184e-02
139, 3.358536266237242e-01, 1.194161094151178e-01, 1.012525254528646e+05, -1.183230161029834e+00, 4.266269351440539e-02
140, 3.512657490041273e-01, 1.194796477973736e-01, 1.012544010484897e+05, -1.152608909828395e+00, 4.233298876695316e-02
141, 3.668228223000597e-01, 1.193547147725021e-01, 1.012562733138795e+05, -1.122042028540286e+00, 4.199423000315853e-02
142, 3.825025216870846e-01, 1.190443165005900e-01, 1.012581795942934e+05, -1.090919812945011e+00, 4.165735332209707e-02
143, 3.983031761946131e-01, 1.185522549071291e-01, 1.012600445452564e+05, -1.060472348070530e+00, 4.131118302935995e-02
144, 4.142026432028005e-01, 1.178811640382332e-01, 1.012619616978316e+05, -1.029172631964414e+00, 4.096548573155574e-02
145, 4.301789904738492e-01, 1.170357059191896e-01, 1.012637711735454e+05, -9.996308642011631e-01, 4.061107985819846e-02
146, 4.462103015654746e-01, 1.160203050450433e-01, 1.012656798941979e+05, -9.684688089090602e-01, 4.025621026128284e-02
147, 4.622952876896745e-01, 1.148387763711424e-01, 1.012674804240004e+05, -9.390730934156075e-01, 3.989616551879529e-02
148, 4.784021220395000e-01, 1.134975566563057e-01, 1.012694208418079e+05, -9.073935456901622e-01, 3.953688560551141e-02
149, 4.945193912537090e-01, 1.120005399107494e-01, 1.012711861278764e+05, -8.785732246033289e-01, 3.917190074510330e-02
150, 5.106359382339893e-01, 1.103534487031288e-01, 1.012730828059047e+05, -8.476077789736685e-01, 3.880899798865647e-02
151, 5.267203059429595e-01, 1.085637612805147e-01, 1.012748999252431e+05, -8.179412202662047e-01, 3.844734637614383e-02
152, 5.427718459362546e-01, 1.066374164163004e-01, 1.012767728730402e+05, -7.873631978970494e-01, 3.809285715701558e-02
153, 5.587590533409889e-01, 1.045803929335577e-01, 1.012785242836861e+05, -7.587694090081384e-01, 3.773514477225599e-02
154, 5.746816396062646e-01, 1.023989597768854e-01, 1.012803426072257e+05, -7.290831903331555e-01, 3.738546433975069e-02
155, 5.905085287330731e-01, 1.001021527628826e-01, 1.012821257385085e+05, -6.999715256423812e-01, 3.703383134811904e-02
156, 6.062292237078410e-01, 9.769610996620698e-02, 1.012839147703018e+05, -6.707635283442608e-01, 3.668835173648567e-02
157, 6.218232828718178e-01, 9.518947612429360e-02, 1.012857149291235e+05, -6.413738695380347e-01, 3.634027101105310e-02
158, 6.372802907418286e-01, 9.258828619801573e-02, 1.012874213387843e+05, -6.135147733793050e-01, 3.599592569865890e-02
159, 6.525900073623128e-01, 8.989953303372362e-02, 1.012892550808834e+05, -5.835768290252827e-01, 3.565204549825130e-02
160, 6.677325708113457e-01, 8.713332510827292e-02, 1.012910053665571e+05, -5.550014065986848e-01, 3.530891906788527e-02
161, 6.826875287750986e-01, 8.429681032862045e-02, 1.012927162196864e+05, -5.270697657174492e-01, 3.496256899052513e-02
162, 6.974452689753460e-01, 8.139867940444628e-02, 1.012944650412898e+05, -4.985182459190688e-01, 3.461696903661427e-02
163, 7.119958640627980e-01, 7.844556335520766e-02, 1.012961291759338e+05, -4.713493379278076e-01, 3.427082904767891e-02
164, 7.263094308184852e-01, 7.544875968251825e-02, 1.012978919329245e+05, -4.425703069377221e-01, 3.392534723562863e-02
165, 7.403868280659009e-01, 7.241518913688558e-02, 1.012995442592678e+05, -4.155941830081930e-01, 3.357902818118121e-02
166, 7.542179011512561e-01, 6.935009943922715e-02, 1.013011901573821e+05, -3.887230072954284e-01, 3.323561617251344e-02
167, 7.677733162733296e-01, 6.626618494550823e-02, 1.013028858381484e+05, -3.610390726529654e-01, 3.288943055927648e-02
168, 7.810438484036309e-01, 6.317156375484036e-02, 1.013045724883232e+05, -3.335025727798446e-01, 3.254724427738993e-02
169, 7.940300012555948e-01, 6.007091680935296e-02, 1.013061904430332e+05, -3.070876052129918e-01, 3.220153321016724e-02
170, 8.067124475304996e-01, 5.697422274338955e-02, 1.013078519482282e+05, -2.799616259955711e-01, 3.185904511225736e-02
171, 8.190819336385345e-01, 5.388877273536603e-02, 1.013094311132248e+05, -2.541799450171280e-01, 3.151335373653354e-02
172, 8.311091458310141e-01, 5.082656451468538e-02, 1.013111203040372e+05, -2.266019663201164e-01, 3.117016272805306e-02
173, 8.428053208717353e-01, 4.779185600489268e-02, 1.013127096837896e+05, -2.006535177310837e-01, 3.082562720730552e-02
174, 8.541605099515807e-01, 4.478899819183697e-02, 1.013142779602379e+05, -1.750496048014735e-01, 3.047819385783002e-02
175, 8.651364779697065e-01, 4.183603362618732e-02, 1.013159446373262e+05, -1.478391884906968e-01, 3.012709216627726e-02
176, 8.757535399186690e-01, 3.893063105707421e-02, 1.013174767522301e+05, -1.228256542750421e-01, 2.977206796717204e-02
177, 8.859927259546134e-01, 3.608287646913903e-02, 1.013191615791538e+05, -9.531892107068170e-02, 2.941664296645414e-02
178, 8.958349077695265e-01, 3.330266104698087e-02, 1.013206758351290e+05, -7.059695436362044e-02, 2.905352488702337e-02
179, 9.052808946182406e-01, 3.059388905745805e-02, 1.013223115296741e+05, -4.389236362814532e-02, 2.868720828179908e-02
180, 9.143217542156868e-01, 2.796411240170191e-02, 1.013238294347613e+05, -1.911082097893058e-02, 2.831059010596052e-02
181, 9.229382438135897e-01, 2.542215280576066e-02, 1.013253978176468e+05, 6.494829659251116e-03, 2.793262873635388e-02
182, 9.311411353127126e-01, 2.296932502883915e-02, 1.013269711384499e+05, 3.218109747030011e-02, 2.754076501184098e-02
183, 9.389014263676524e-01, 2.061780733895647e-02, 1.013284748862318e+05, 5.673150586148852e-02, 2.714448232043052e-02
184, 9.462296164785852e-01, 1.836763965493834e-02, 1.013300462742105e+05, 8.238621809599758e-02, 2.673726829826420e-02
185, 9.531168131055582e-01, 1.622611690727106e-02, 1.013315548388802e+05, 1.070152677083618e-01, 2.632700010639726e-02
186, 9.595532510590540e-01, 1.419765992788397e-02, 1.013331357564393e+05, 1.328255612798581e-01, 2.590548143700134e-02
187, 9.655301959724221e-01, 1.228974462571029e-02, 1.013347204646107e+05, 1.586977409474562e-01, 2.547461053671156e-02
188, 9.710478328437160e-01, 1.050407207036090e-02, 1.013362962516596e+05, 1.844242730517296e-01, 2.502979011550623e-02
189, 9.760872839629262e-01, 8.850249231259821e-03, 1.013379093392045e+05, 2.107597785636712e-01, 2.456850793552056e-02
190, 9.806686425105148e-01, 7.323986420947547e-03, 1.013396263966298e+05, 2.387927116983397e-01, 2.408621244106102e-02
191, 9.847628751430438e-01, 5.937191928207900e-03, 1.013412463712032e+05, 2.652406558541250e-01, 2.357642411650927e-02
192, 9.883895745435864e-01, 4.684468905668286e-03, 1.013433325697469e+05, 2.993002414092079e-01, 2.303006838796665e-02
193, 9.915203991406479e-01, 3.578687726235953e-03, 1.013446048315263e+05, 3.200713751329627e-01, 2.242679897591665e-02
194, 9.941734916526979e-01, 2.612539676579981e-03, 1.013484826242109e+05, 3.833807912521868e-01, 2.171673858363668e-02
195, 9.963434181159379e-01, 1.795960481226747e-03, 1.013469178205177e+05, 3.578335750356683e-01, 2.074386299580102e-02
196, 9.980082004179258e-01, 1.119954534394681e-03, 1.013537638368935e+05, 4.696026495436773e-01, 1.938352137174150e-02
197, 9.991975502218478e-01, 6.188946450462806e-04, 1.013752142301382e+05, 8.198049378828912e-01, 1.769367720179378e-02
198, 9.998417527349392e-01, 2.063276870296043e-04, 1.013242220321752e+05, -1.270121761319334e-02, 1.447627832192574e-02
65, 2.396611717334269e-01, -8.037184898579826e-02, 1.013243035529811e+05, -1.137029689556961e-02, 2.965752626533723e-02
66, 2.257240732130237e-01, -7.956999934541574e-02, 1.013249856872044e+05, -2.336728151421933e-04, 2.950221786567262e-02
67, 2.120592752585481e-01, -7.862849652171862e-02, 1.013256934760020e+05, 1.132179163501700e-02, 2.932379725495939e-02
68, 1.986780489018186e-01, -7.754567956775091e-02, 1.013265513796239e+05, 2.532805287838196e-02, 2.912141901841596e-02
69, 1.856017919001527e-01, -7.632323700991243e-02, 1.013274562705542e+05, 4.010143585978827e-02, 2.888986458280753e-02
70, 1.728316956396664e-01, -7.495941890584461e-02, 1.013284964696022e+05, 5.708387915400864e-02, 2.863024244447168e-02
71, 1.603893426503445e-01, -7.345592768131311e-02, 1.013296449444218e+05, 7.583404868948372e-02, 2.833436029634801e-02
72, 1.482866477776372e-01, -7.181081239229371e-02, 1.013309725917796e+05, 9.750941554680143e-02, 2.800108436447978e-02
73, 1.365452850744474e-01, -7.002771605803750e-02, 1.013323633857683e+05, 1.202157236257461e-01, 2.761960267756481e-02
74, 1.251773032369397e-01, -6.810659562408759e-02, 1.013340093382324e+05, 1.470877866626043e-01, 2.719085049633420e-02
75, 1.141850028042810e-01, -6.604521227314478e-02, 1.013357781182501e+05, 1.759651504799514e-01, 2.669717003149248e-02
76, 1.035806739761412e-01, -6.384529567927956e-02, 1.013377255396012e+05, 2.077590390918052e-01, 2.613921559419288e-02
77, 9.339765057088301e-02, -6.151080409739959e-02, 1.013399435236321e+05, 2.439701739780701e-01, 2.550099667753800e-02
78, 8.362881328952278e-02, -5.903939529114709e-02, 1.013423099409031e+05, 2.826046518641699e-01, 2.477835437206640e-02
79, 7.429844117360233e-02, -5.643316301433477e-02, 1.013450455757294e+05, 3.272670300910953e-01, 2.394918181347997e-02
80, 6.542140250555105e-02, -5.369252918603704e-02, 1.013480032549813e+05, 3.755545384067318e-01, 2.299649172645022e-02
81, 5.700306083812308e-02, -5.081621924529583e-02, 1.013513079182351e+05, 4.295069587878253e-01, 2.189708681204480e-02
82, 4.907030347914271e-02, -4.780811491674435e-02, 1.013549216201598e+05, 4.885047901554410e-01, 2.062999204220084e-02
83, 4.163212933568641e-02, -4.466449539006809e-02, 1.013589495415056e+05, 5.542652289705434e-01, 1.915778833274366e-02
84, 3.470914036163566e-02, -4.138637270604852e-02, 1.013631153088829e+05, 6.222761624565422e-01, 1.744687429910307e-02
85, 2.832452731458448e-02, -3.797559818610223e-02, 1.013678069168172e+05, 6.988720465433854e-01, 1.544156338322952e-02
86, 2.249706079287111e-02, -3.442739058589595e-02, 1.013725378639780e+05, 7.761101886519333e-01, 1.308072213404496e-02
87, 1.725820251261300e-02, -3.074659403035305e-02, 1.013772855323808e+05, 8.536213242264805e-01, 1.030172981939845e-02
88, 1.264777117368789e-02, -2.693914491936083e-02, 1.013815171916868e+05, 9.227080190730613e-01, 7.049100826621866e-03
89, 8.692287491315920e-03, -2.300711910799886e-02, 1.013851901880297e+05, 9.826738998680835e-01, 3.254157853799932e-03
90, 5.457617588406790e-03, -1.899546265002835e-02, 1.013861724006203e+05, 9.987096476959217e-01, 1.042658520091769e-03
91, 2.967237978064911e-03, -1.492976377724790e-02, 1.013849908133541e+05, 9.794188794669717e-01, 5.769178116818974e-03
92, 1.253391039548694e-03, -1.090033185974690e-02, 1.013774766425212e+05, 8.567414166048668e-01, 1.070407707685398e-02
93, 2.924741878579445e-04, -7.002931920246669e-03, 1.013700112922890e+05, 7.348610060820125e-01, 1.553678318254588e-02
94, 2.504097395298818e-07, -3.330924256855643e-03, 1.013476663222013e+05, 3.700537240763563e-01, 1.974723998387667e-02
95, 2.535630961449970e-04, 5.669520449716470e-05, 1.013330488927001e+05, 1.314074110446473e-01, 2.277799730303080e-02
96, 6.818398970275309e-04, 3.175595001038524e-03, 1.013395089336712e+05, 2.368749940873879e-01, 2.526867755374688e-02
97, 1.251107692069056e-03, 6.110550794797937e-03, 1.013238471935155e+05, -1.882088893610527e-02, 2.763174772719093e-02
98, 1.979743594931736e-03, 8.929006750222060e-03, 1.013180426139632e+05, -1.135873120439469e-01, 2.979196352501270e-02
99, 2.388475840828498e-03, 1.027881712930184e-02, 1.013048379585862e+05, -3.291684660573925e-01, 3.125305667057005e-02
100, 2.830877769027000e-03, 1.161766059139758e-02, 1.013053277332687e+05, -3.211723322501718e-01, 3.241824177334007e-02
101, 3.847822174978819e-03, 1.434464621630695e-02, 1.013047236431035e+05, -3.310347975114165e-01, 3.408853917490433e-02
102, 5.032841522662188e-03, 1.709097092480302e-02, 1.012880776046208e+05, -6.028004804013730e-01, 3.578701410174468e-02
103, 6.421878934166126e-03, 1.991535215824824e-02, 1.012834522070003e+05, -6.783154051262911e-01, 3.731909906201986e-02
104, 8.071110145302856e-03, 2.288576223911587e-02, 1.012747850642297e+05, -8.198164581354282e-01, 3.880334755171626e-02
105, 1.002019629111484e-02, 2.601273890135657e-02, 1.012673927201237e+05, -9.405049598603527e-01, 4.017305842332031e-02
106, 1.231535667958326e-02, 2.930848856710431e-02, 1.012600598339189e+05, -1.060222743108417e+00, 4.143115867586624e-02
107, 1.499831934025869e-02, 3.277109731740697e-02, 1.012532895568715e+05, -1.170755286153783e+00, 4.257443580198714e-02
108, 1.810799760256804e-02, 3.638742803317203e-02, 1.012468989395956e+05, -1.275089447694618e+00, 4.358761963872665e-02
109, 2.166086692835762e-02, 4.012197658484948e-02, 1.012414015330011e+05, -1.364840919725244e+00, 4.446665376380781e-02
110, 2.569884457032520e-02, 4.397071569212224e-02, 1.012366564227213e+05, -1.442310291006330e+00, 4.522456676801697e-02
