"Iteration","CLift","CDrag","CSideForce","CMx","CMy","CMz","CFx","CFy","CFz","CL/CD","Res_Flow[0]","Res_Flow[1]","Res_Flow[2]","Res_Flow[3]","Res_Flow[4]","Linear_Solver_Iterations","CFL_Number","Time(min)"
           0, 0.1974055746, 0.0882156836, -0.0365281379, 0.1093047113, -0.0687181550, -0.0446267458, 0.0775520609, -0.0365281379, 0.2018332122, 2.2377605258, -4.6185565000, -4.6191761671, -15.7810091085, -5.8911641830, -4.0113904992, 2.0000000000, 5.0000000000, 0.0212600668
           1, 0.2126765649, 0.0600934518, -0.0169325875, 0.1180014226, -0.0677440018, -0.0258267730, 0.0486547350, -0.0169325875, 0.2155812166, 3.5390971677, -4.4853464356, -4.3384016327, -4.6341067808, -4.4494045386, -3.8678956390, 2.0000000000, 5.0000000000, 0.0359938025
           2, 0.2316899401, 0.0482156957, -0.0076560075, 0.1286079296, -0.0698831950, -0.0166628145, 0.0357789483, -0.0076560075, 0.2339334275, 4.8052804535, -4.5134800983, -4.4401258852, -4.5181559757, -4.3896666934, -3.9215505976, 2.0000000000, 5.0000000000, 0.0515153329
           3, 0.2448755329, 0.0415361361, -0.0023465622, 0.1357347693, -0.0708541737, -0.0110049307, 0.0284050434, -0.0023465622, 0.2467436539, 5.8954817573, -4.5029398931, -4.5320090188, -4.4853031276, -4.3865096537, -3.9284226586, 2.0000000000, 5.0000000000, 0.0666201989
           4, 0.2545039435, 0.0358451409, 0.0017677541, 0.1404010383, -0.0711258290, -0.0060440190, 0.0222081817, 0.0017677541, 0.2560545412, 7.1000960455, -4.4721676815, -4.5149851563, -4.4791583857, -4.3519858482, -3.9027985322, 2.0000000000, 5.0000000000, 0.0813585838
           5, 0.2621883060, 0.0312791136, 0.0048637623, 0.1438150454, -0.0712716059, -0.0018800690, 0.0172384604, 0.0048637623, 0.2634842049, 8.3822166287, -4.4644841110, -4.5033444706, -4.4843122929, -4.3289583162, -3.9011823034, 2.0000000000, 5.0000000000, 0.0960923513
           6, 0.2685886869, 0.0277924888, 0.0071090214, 0.1465361886, -0.0714797168, 0.0014173489, 0.0134151438, 0.0071090214, 0.2696893381, 9.6640746617, -4.4847801695, -4.5365153623, -4.4878005345, -4.3313650174, -3.9299704466, 2.0000000000, 5.0000000000, 0.1109360496
           7, 0.2741296629, 0.0250956445, 0.0087518351, 0.1488364445, -0.0717913348, 0.0039986953, 0.0104263580, 0.0087518351, 0.2750784516, 10.9233960222, -4.5167711026, -4.5979106789, -4.4920586101, -4.3537466505, -3.9698501335, 2.0000000000, 5.0000000000, 0.1261644681
           8, 0.2790037017, 0.0229296489, 0.0099899296, 0.1508074906, -0.0721511335, 0.0060439741, 0.0080032664, 0.0099899296, 0.2798299164, 12.1678139309, -4.5441874002, -4.6553372374, -4.5013192855, -4.3874789144, -4.0014334918, 2.0000000000, 5.0000000000, 0.1420562347
           9, 0.2832329300, 0.0211300607, 0.0109501249, 0.1524456382, -0.0724634082, 0.0076858572, 0.0059804807, 0.0109501249, 0.2839570495, 13.4042648487, -4.5691324298, -4.6915219313, -4.5140271410, -4.4213827734, -4.0281862507, 2.0000000000, 5.0000000000, 0.1582982500
