"Global_Index", "x_coord", "y_coord", "z_coord", "Pressure", "C<sub>p</sub>", "Mach"
80, 1.004801329998897e+00, 1.206486588594975e+00, -9.272488358713107e-03, 9.226348298916449e-01, -1.817621266595868e-01, 9.458657348667763e-01
81, 9.925573967006427e-01, 1.208233721369381e+00, -8.742949420226078e-03, 9.245011450028803e-01, -1.780294964371160e-01, 9.450283590065766e-01
66, 9.955614238028226e-01, 1.212327959232534e+00, 0.000000000000000e+00, 8.543146349409848e-01, -3.184025165609070e-01, 9.455518339032623e-01
79, 1.141313850682811e+00, 1.196661372728442e+00, 0.000000000000000e+00, 9.747590537924490e-01, -7.751367885797864e-02, 7.178993948418726e-01
0, 1.143761127000000e+00, 1.196300000000000e+00, 0.000000000000000e+00, 8.637533821168230e-01, -2.995250222092307e-01, 7.492608564823581e-01
1, 1.141282283345606e+00, 1.196300000018703e+00, -3.245435648229487e-04, 1.112978153450373e+00, 1.989245204578700e-01, 8.651805802471272e-01
40, 6.906841270000000e-01, 1.196300000000000e+00, 0.000000000000000e+00, 1.048149579000138e+00, 6.926737155739947e-02, 8.268564885428026e-01
41, 6.922303073257372e-01, 1.198236522368381e+00, 0.000000000000000e+00, 8.147218764009785e-01, -3.975880336409195e-01, 1.011777516028618e+00
82, 6.921675882560945e-01, 1.197745910647901e+00, -1.992097363763140e-03, 9.176187597279037e-01, -1.917942669870691e-01, 9.177439413827828e-01
2, 1.138307651062921e+00, 1.196300000040706e+00, -7.138498041174363e-04, 9.669292852928882e-01, -9.317321585710013e-02, 9.203030276959845e-01
83, 6.937437503652518e-01, 1.198757346914668e+00, -2.968495101661573e-03, 7.896322565921128e-01, -4.477672732586510e-01, 1.018628013993415e+00
42, 6.952371597013760e-01, 1.200513827528012e+00, 0.000000000000000e+00, 7.170188435195305e-01, -5.929940994038155e-01, 1.113299789939426e+00
84, 6.965482473438577e-01, 1.200396564843396e+00, -3.552271587423307e-03, 7.196700779237849e-01, -5.876916305953067e-01, 1.085943285451727e+00
78, 1.137584821435709e+00, 1.197204960950047e+00, 0.000000000000000e+00, 8.343088113827699e-01, -3.584141636773367e-01, 7.923584345135445e-01
85, 1.135691563341055e+00, 1.197090298455060e+00, -6.377273371023288e-04, 8.549448550201576e-01, -3.171420764025614e-01, 1.146875779830789e+00
3, 1.134738073460673e+00, 1.196300000066483e+00, -1.180878671709116e-03, 9.891572707026651e-01, -4.871724503754637e-02, 8.946196545169984e-01
86, 7.044401765443538e-01, 1.203901825801656e+00, -3.432904777864065e-03, 7.247353538112762e-01, -5.775610788203241e-01, 1.117695297001617e+00
87, 7.000391479334777e-01, 1.200511503495290e+00, -6.540403711816645e-03, 7.413565417142695e-01, -5.443187030143376e-01, 1.075424436724003e+00
43, 7.002620474677743e-01, 1.203019225017169e+00, 0.000000000000000e+00, 7.018708917106601e-01, -6.232900030215563e-01, 1.106115760902914e+00
88, 6.943633078042938e-01, 1.198045166845693e+00, -5.122436224926990e-03, 8.304775942672725e-01, -3.660765979083315e-01, 1.020751396659428e+00
36, 6.987753231583956e-01, 1.196300000014415e+00, -9.849854129621610e-03, 7.681876263084488e-01, -4.906565338259788e-01, 1.052219229135946e+00
89, 6.962799362963488e-01, 1.198459038633120e+00, -6.481532844905071e-03, 7.403855717008920e-01, -5.462606430410925e-01, 1.089442829134055e+00
90, 7.118737040367091e-01, 1.205730033620567e+00, -4.226228608139435e-03, 6.405049735099733e-01, -7.460218394229299e-01, 1.182422643224200e+00
91, 7.057415142200678e-01, 1.202039955052771e+00, -7.456328738635921e-03, 7.109357478499398e-01, -6.051602907429968e-01, 1.107707487336139e+00
44, 7.075236929224786e-01, 1.205545800044381e+00, 0.000000000000000e+00, 6.320581536761336e-01, -7.629154790906092e-01, 1.233840420427350e+00
92, 7.188562941375003e-01, 1.202789820710418e+00, -1.023512984044639e-02, 7.270836379525395e-01, -5.728645105377975e-01, 1.077335698336241e+00
93, 7.120473575291731e-01, 1.202629550033575e+00, -8.826113581737852e-03, 7.305746107225435e-01, -5.658825649977895e-01, 1.126414312104838e+00
45, 7.176992100562654e-01, 1.208097231735266e+00, 0.000000000000000e+00, 6.840250667758593e-01, -6.589816528911580e-01, 1.121941446147561e+00
94, 7.267294229261174e-01, 1.205189592600941e+00, -9.415305456728354e-03, 8.228120182331744e-01, -3.814077499765278e-01, 1.005744792606315e+00
46, 7.302034532790366e-01, 1.210401793428850e+00, 0.000000000000000e+00, 7.535436736318605e-01, -5.199444391791556e-01, 1.073470833350916e+00
95, 7.357972214670094e-01, 1.205716364990677e+00, -1.046084036424380e-02, 7.982576992413442e-01, -4.305163879601883e-01, 1.018932954384446e+00
96, 7.428297096665130e-01, 1.209001148739544e+00, -7.908016243115651e-03, 7.917197273720931e-01, -4.435923316986904e-01, 1.055086732652506e+00
47, 7.429760896244266e-01, 1.212187877876433e+00, 0.000000000000000e+00, 7.017018267551659e-01, -6.236281329325447e-01, 1.127107463666118e+00
97, 7.558570018106163e-01, 1.210633548078077e+00, -7.788130836021225e-03, 7.533109454277561e-01, -5.204098955873643e-01, 1.081999413960135e+00
98, 7.488493862725869e-01, 1.206398876902260e+00, -1.160486740855384e-02, 7.703411733084864e-01, -4.863494398259037e-01, 1.058282498155383e+00
48, 7.559599746330878e-01, 1.213605866010294e+00, 0.000000000000000e+00, 6.931216339036981e-01, -6.407885186354804e-01, 1.153124551988532e+00
99, 7.705633008855652e-01, 1.211853733666983e+00, -7.991003038309453e-03, 7.498815301898372e-01, -5.272687260632022e-01, 1.092363854949583e+00
100, 7.630407604300603e-01, 1.207330497949586e+00, -1.226993619671950e-02, 7.998748235170486e-01, -4.272821394087793e-01, 1.043204684588104e+00
49, 7.691113762153509e-01, 1.214737855271984e+00, 0.000000000000000e+00, 7.021630956319185e-01, -6.227055951790396e-01, 1.142782614316987e+00
101, 7.846147648392695e-01, 1.211958698069874e+00, -9.221564050361137e-03, 7.794714833780199e-01, -4.680888196868368e-01, 1.049304100288011e+00
