"Iteration","CLift","CDrag","CSideForce","CMx","CMy","CMz","CFx","CFy","CFz","CL/CD","Res_Flow[0]","Res_Flow[1]","Res_Flow[2]","Res_Flow[3]","Res_Flow[4]","Linear_Solver_Iterations","CFL_Number","Time(min)"
           0, 0.2045705262, 0.0953848815, -0.0425099148, 0.1129852602, -0.0757340229, -0.0494106770, 0.0843285595, -0.0425099148, 0.2093706518, 2.1446850175, -4.6185565000, -4.6191761671, -15.7810091085, -5.8911641830, -4.0113904992, 2.0000000000, 5.0000000000, 0.0176995317
           1, 0.1985710017, 0.0664925256, -0.0228362729, 0.1088589998, -0.0665893930, -0.0310059342, 0.0557976637, -0.0228362729, 0.2018373588, 2.9863657570, -4.6200205671, -4.4312556014, -4.8129459968, -4.5607293082, -3.9801983044, 2.0000000000, 5.0000000000, 0.0298113664
           2, 0.2111290947, 0.0546340467, -0.0126297287, 0.1156502392, -0.0659225626, -0.0223131416, 0.0432857207, -0.0126297287, 0.2137445206, 3.8644235100, -4.5440452727, -4.4308467716, -4.6013127988, -4.4416278369, -3.9422571296, 2.0000000000, 5.0000000000, 0.0418408672
           3, 0.2247801720, 0.0484230356, -0.0065656099, 0.1233433879, -0.0671240807, -0.0170205683, 0.0363548477, -0.0065656099, 0.2270445796, 4.6420091016, -4.5259504310, -4.4985618949, -4.5215999162, -4.4136212267, -3.9470105328, 2.0000000000, 5.0000000000, 0.0538677494
           4, 0.2350428876, 0.0426726058, -0.0016717943, 0.1289011627, -0.0676434442, -0.0119428961, 0.0300647759, -0.0016717943, 0.2369856948, 5.5080509631, -4.4815157214, -4.4821561322, -4.4978933338, -4.3713059309, -3.9009297976, 2.0000000000, 5.0000000000, 0.0660104473
           5, 0.2425642111, 0.0375893044, 0.0021599456, 0.1328527172, -0.0675805439, -0.0072839163, 0.0245872214, 0.0021599456, 0.2442249391, 6.4530114301, -4.4547027485, -4.4712741857, -4.4899364636, -4.3340650776, -3.8794928492, 2.0000000000, 5.0000000000, 0.0780659835
           6, 0.2485398528, 0.0333908340, 0.0050125255, 0.1359198485, -0.0674240668, -0.0032967502, 0.0200757475, 0.0050125255, 0.2499679391, 7.4433556349, -4.4534921382, -4.4890458782, -4.4830855175, -4.3200630580, -3.8889401190, 2.0000000000, 5.0000000000, 0.0901106000
           7, 0.2537256838, 0.0299432705, 0.0071214761, 0.1384500383, -0.0674076638, 0.0000314436, 0.0163562710, 0.0071214761, 0.2549623393, 8.4735461423, -4.4610983324, -4.5165939372, -4.4799638639, -4.3293872213, -3.9050848409, 2.0000000000, 5.0000000000, 0.1022572835
           8, 0.2584870245, 0.0270580684, 0.0087051232, 0.1406011807, -0.0675563153, 0.0027939730, 0.0132210144, 0.0087051232, 0.2595628743, 9.5530479326, -4.4712440736, -4.5535453214, -4.4863998590, -4.3540856878, -3.9216046492, 2.0000000000, 5.0000000000, 0.1147367318
           9, 0.2629845582, 0.0245924088, 0.0099199728, 0.1424768609, -0.0678229114, 0.0050837030, 0.0105187844, 0.0099199728, 0.2639223742, 10.6937291226, -4.4842311052, -4.5978504107, -4.5020148889, -4.3848764191, -3.9403442866, 2.0000000000, 5.0000000000, 0.1273234646
          10, 0.2672604309, 0.0224495613, 0.0108728654, 0.1441508215, -0.0681500339, 0.0069798278, 0.0081507389, 0.0108728654, 0.2680777615, 11.9049288690, -4.5015335295, -4.6380302579, -4.5213370184, -4.4156397232, -3.9625573967, 2.0000000000, 5.0000000000, 0.1399090648
          11, 0.2712677293, 0.0205670380, 0.0116356118, 0.1456528406, -0.0684787052, 0.0085476663, 0.0060569833, 0.0116356118, 0.2719788539, 13.1894407914, -4.5239040180, -4.6655768250, -4.5399315972, -4.4440569122, -3.9883418745, 2.0000000000, 5.0000000000, 0.1524064342
          12, 0.2749186837, 0.0189068548, 0.0122553158, 0.1469776208, -0.0687533541, 0.0098401485, 0.0042042731, 0.0122553158, 0.2755359793, 14.5406884022, -4.5506766899, -4.6831769221, -4.5575718256, -4.4705743589, -4.0168318007, 2.0000000000, 5.0000000000, 0.1648109476
          13, 0.2781279423, 0.0174484950, 0.0127609451, 0.1481073445, -0.0689304245, 0.0108988287, 0.0025766771, 0.0127609451, 0.2786628124, 15.9399387853, -4.5800563565, -4.6984854919, -4.5763012339, -4.4968347120, -4.0466344971, 2.0000000000, 5.0000000000, 0.1771897674
          14, 0.2808408036, 0.0161806645, 0.0131701108, 0.1490320171, -0.0689854040, 0.0117567082, 0.0011658372, 0.0131701108, 0.2813041267, 17.3565679508, -4.6094031443, -4.7155850222, -4.5980131308, -4.5241884434, -4.0759125589, 2.0000000000, 5.0000000000, 0.1897317330
          15, 0.2830394699, 0.0150945058, 0.0134947041, 0.1497550624, -0.0689103565, 0.0124409576, -0.0000361414, 0.0134947041, 0.2834416771, 18.7511584098, -4.6361676381, -4.7343024932, -4.6236603819, -4.5529455942, -4.1030915879, 2.0000000000, 5.0000000000, 0.2022643328
          16, 0.2847332810, 0.0141796761, 0.0137446850, 0.1502867831, -0.0687067955, 0.0129749577, -0.0010400853, 0.0137446850, 0.2850842380, 20.0803798076, -4.6594625648, -4.7536187102, -4.6531781306, -4.5827271938, -4.1280465433, 2.0000000000, 5.0000000000, 0.2160608172
          17, 0.2859474374, 0.0134228274, 0.0139297763, 0.1506366878, -0.0683811395, 0.0133794075, -0.0018606685, 0.0139297763, 0.2862562614, 21.3030704763, -4.6809410510, -4.7738952672, -4.6854805547, -4.6132092950, -4.1526219882, 2.0000000000, 5.0000000000, 0.2290601651
          18, 0.2867222045, 0.0128088501, 0.0140598800, 0.1508164270, -0.0679465274, 0.0136726197, -0.0025151288, 0.0140598800, 0.2869971486, 22.3846951785, -4.7034813639, -4.7966103379, -4.7189306846, -4.6444688583, -4.1793294683, 2.0000000000, 5.0000000000, 0.2416989326
          19, 0.2871077958, 0.0123219537, 0.0141449500, 0.1508407407, -0.0674207753, 0.0138712850, -0.0030219144, 0.0141449500, 0.2873561988, 23.3005092038, -4.7292989235, -4.8229535369, -4.7520502669, -4.6766554970, -4.2097615847, 2.0000000000, 5.0000000000, 0.2595386306
          20, 0.2871586284, 0.0119469680, 0.0141942502, 0.1507273052, -0.0668250265, 0.0139904537, -0.0033990791, 0.0141942502, 0.2873869415, 24.0361093775, -4.7590304147, -4.8529545749, -4.7841515878, -4.7096126620, -4.2439518552, 2.0000000000, 5.0000000000, 0.2742113670
          21, 0.2869338882, 0.0116703953, 0.0142158885, 0.1504995565, -0.0661842157, 0.0140433396, -0.0036632604, 0.0142158885, 0.2871477579, 24.5864755437, -4.7918379140, -4.8854781406, -4.8154690591, -4.7428047980, -4.2805817232, 2.0000000000, 5.0000000000, 0.2866891503
          22, 0.2864944435, 0.0114801374, 0.0142166994, 0.1501852604, -0.0655241638, 0.0140417964, -0.0038297887, 0.0142166994, 0.2866987835, 24.9556633652, -4.8261359690, -4.9187646259, -4.8468401357, -4.7756087177, -4.3177132528, 2.0000000000, 5.0000000000, 0.2992654641
          23, 0.2858976099, 0.0113651254, 0.0142022792, 0.1498117519, -0.0648680852, 0.0139964936, -0.0039127768, 0.0142022792, 0.2860966613, 25.1556934929, -4.8603491622, -4.9511585494, -4.8791559357, -4.8076342692, -4.3535552435, 2.0000000000, 5.0000000000, 0.3118123809
