"Global_Index", "x_coord", "y_coord", "z_coord", "Pressure", "C<sub>p</sub>", "Mach"
80, 1.004801329998897e+00, 1.206486588594975e+00, -9.272488358713107e-03, 9.226348304296346e-01, -1.817621255836075e-01, 9.458657359119007e-01
81, 9.925573967006427e-01, 1.208233721369381e+00, -8.742949420226078e-03, 9.245011492724372e-01, -1.780294878980022e-01, 9.450283559099423e-01
66, 9.955614238028226e-01, 1.212327959232534e+00, 0.000000000000000e+00, 8.543146352976053e-01, -3.184025158476659e-01, 9.455518331066276e-01
79, 1.141313850682811e+00, 1.196661372728442e+00, 0.000000000000000e+00, 9.747590553875146e-01, -7.751367566784738e-02, 7.178993980851864e-01
0, 1.143761127000000e+00, 1.196300000000000e+00, 0.000000000000000e+00, 8.637533826394064e-01, -2.995250211640638e-01, 7.492608568128227e-01
1, 1.141282283345606e+00, 1.196300000018703e+00, -3.245435648229487e-04, 1.112978154262398e+00, 1.989245220819197e-01, 8.651805847417807e-01
40, 6.906841270000000e-01, 1.196300000000000e+00, 0.000000000000000e+00, 1.048149578943877e+00, 6.926737144487703e-02, 8.268564885947915e-01
41, 6.922303073257372e-01, 1.198236522368381e+00, 0.000000000000000e+00, 8.147218763345462e-01, -3.975880337737842e-01, 1.011777516096461e+00
82, 6.921675882560945e-01, 1.197745910647901e+00, -1.992097363763140e-03, 9.176187596855075e-01, -1.917942670718615e-01, 9.177439414223632e-01
2, 1.138307651062921e+00, 1.196300000040706e+00, -7.138498041174363e-04, 9.669292860942874e-01, -9.317321425430178e-02, 9.203030306534092e-01
83, 6.937437503652518e-01, 1.198757346914668e+00, -2.968495101661573e-03, 7.896322565405958e-01, -4.477672733616850e-01, 1.018628014045850e+00
42, 6.952371597013760e-01, 1.200513827528012e+00, 0.000000000000000e+00, 7.170188434468259e-01, -5.929940995492248e-01, 1.113299790018386e+00
84, 6.965482473438577e-01, 1.200396564843396e+00, -3.552271587423307e-03, 7.196700778631919e-01, -5.876916307164927e-01, 1.085943285514975e+00
78, 1.137584821435709e+00, 1.197204960950047e+00, 0.000000000000000e+00, 8.343088124601924e-01, -3.584141615224918e-01, 7.923584382063885e-01
85, 1.135691563341055e+00, 1.197090298455060e+00, -6.377273371023288e-04, 8.549448559877261e-01, -3.171420744674244e-01, 1.146875780804394e+00
3, 1.134738073460673e+00, 1.196300000066483e+00, -1.180878671709116e-03, 9.891572713016765e-01, -4.871724383952358e-02, 8.946196557267292e-01
86, 7.044401765443538e-01, 1.203901825801656e+00, -3.432904777864065e-03, 7.247353537584983e-01, -5.775610789258799e-01, 1.117695297049569e+00
87, 7.000391479334777e-01, 1.200511503495290e+00, -6.540403711816645e-03, 7.413565416561215e-01, -5.443187031306335e-01, 1.075424436777958e+00
43, 7.002620474677743e-01, 1.203019225017169e+00, 0.000000000000000e+00, 7.018708916415920e-01, -6.232900031596924e-01, 1.106115760974068e+00
88, 6.943633078042938e-01, 1.198045166845693e+00, -5.122436224926990e-03, 8.304775942304954e-01, -3.660765979818858e-01, 1.020751396695087e+00
36, 6.987753231583956e-01, 1.196300000014415e+00, -9.849854129621610e-03, 7.681876262928083e-01, -4.906565338572598e-01, 1.052219229145318e+00
89, 6.962799362963488e-01, 1.198459038633120e+00, -6.481532844905071e-03, 7.403855716606143e-01, -5.462606431216480e-01, 1.089442829172245e+00
90, 7.118737040367091e-01, 1.205730033620567e+00, -4.226228608139435e-03, 6.405049734193580e-01, -7.460218396041605e-01, 1.182422643324631e+00
91, 7.057415142200678e-01, 1.202039955052771e+00, -7.456328738635921e-03, 7.109357477937401e-01, -6.051602908553962e-01, 1.107707487392098e+00
44, 7.075236929224786e-01, 1.205545800044381e+00, 0.000000000000000e+00, 6.320581535839830e-01, -7.629154792749105e-01, 1.233840420545489e+00
92, 7.188562941375003e-01, 1.202789820710418e+00, -1.023512984044639e-02, 7.270836378465713e-01, -5.728645107497340e-01, 1.077335698469374e+00
93, 7.120473575291731e-01, 1.202629550033575e+00, -8.826113581737852e-03, 7.305746106551425e-01, -5.658825651325915e-01, 1.126414312180613e+00
45, 7.176992100562654e-01, 1.208097231735266e+00, 0.000000000000000e+00, 6.840250665847392e-01, -6.589816532733982e-01, 1.121941446390783e+00
94, 7.267294229261174e-01, 1.205189592600941e+00, -9.415305456728354e-03, 8.228120180874461e-01, -3.814077502679843e-01, 1.005744792731918e+00
46, 7.302034532790366e-01, 1.210401793428850e+00, 0.000000000000000e+00, 7.535436735966534e-01, -5.199444392495697e-01, 1.073470833442433e+00
95, 7.357972214670094e-01, 1.205716364990677e+00, -1.046084036424380e-02, 7.982576991385074e-01, -4.305163881658617e-01, 1.018932954471294e+00
96, 7.428297096665130e-01, 1.209001148739544e+00, -7.908016243115651e-03, 7.917197274361116e-01, -4.435923315706533e-01, 1.055086732598479e+00
47, 7.429760896244266e-01, 1.212187877876433e+00, 0.000000000000000e+00, 7.017018270490332e-01, -6.236281323448102e-01, 1.127107463294287e+00
97, 7.558570018106163e-01, 1.210633548078077e+00, -7.788130836021225e-03, 7.533109454401680e-01, -5.204098955625406e-01, 1.081999413904774e+00
