"Global_Index", "x_coord", "y_coord", "Pressure", "C<sub>p</sub>", "Mach"
199, 1.000000000000000e+00, 0.000000000000000e+00, 1.011974744534310e+05, -2.082000908819788e+00, 1.064690362584973e-02
0, 9.997426217058077e-01, -1.455264180555202e-05, 1.013894825657209e+05, 1.052751892039978e+00, 1.327011636158403e-02
1, 9.989712459773386e-01, -6.610294300192614e-05, 1.013677743206788e+05, 6.983398771728118e-01, 1.510439748456585e-02
2, 9.977075455188993e-01, -2.599627970110812e-04, 1.013625997087183e+05, 6.138583980146932e-01, 1.681335659635530e-02
3, 9.959418792917917e-01, -5.752884124728412e-04, 1.013622720742450e+05, 6.085093892126358e-01, 1.818778924502603e-02
4, 9.936755896561877e-01, -1.017812047855387e-03, 1.013583788280388e+05, 5.449476766168276e-01, 1.921204867454252e-02
5, 9.909185250875999e-01, -1.580727708769891e-03, 1.013563653959048e+05, 5.120760862127952e-01, 2.006994210334109e-02
6, 9.876811614412776e-01, -2.263000932931511e-03, 1.013540689502395e+05, 4.745839750956709e-01, 2.079704531811591e-02
7, 9.839433539868836e-01, -3.067583535001200e-03, 1.013522422208752e+05, 4.447605216872136e-01, 2.145029960525455e-02
8, 9.797350819228593e-01, -3.986401472053759e-03, 1.013504994632279e+05, 4.163080029319725e-01, 2.203956280533086e-02
9, 9.750362129560960e-01, -5.022843515490428e-03, 1.013489043063875e+05, 3.902652367510747e-01, 2.257554063561637e-02
10, 9.698767281281192e-01, -6.168317749433401e-03, 1.013474151265648e+05, 3.659526670126818e-01, 2.306568563323811e-02
11, 9.642362462614679e-01, -7.425393487477554e-03, 1.013460556106802e+05, 3.437570098798535e-01, 2.351454709821234e-02
12, 9.581346596151982e-01, -8.787922821317856e-03, 1.013446770491430e+05, 3.212504106100530e-01, 2.393082428204400e-02
13, 9.515720535332735e-01, -1.025514404757475e-02, 1.013434195220390e+05, 3.007198373738180e-01, 2.431931061040889e-02
14, 9.445577439361018e-01, -1.182085983450106e-02, 1.013422190019588e+05, 2.811199692269405e-01, 2.468350436356088e-02
15, 9.371017772633089e-01, -1.348185563188790e-02, 1.013410214898971e+05, 2.615692104354875e-01, 2.502743551095291e-02
16, 9.292136286917014e-01, -1.523234997429101e-02, 1.013399334386484e+05, 2.438055250440976e-01, 2.535363506724409e-02
17, 9.208829475583292e-01, -1.707233292229090e-02, 1.013388349779551e+05, 2.258718935229356e-01, 2.566357422265430e-02
18, 9.121395533854739e-01, -1.899280099072825e-02, 1.013377944575567e+05, 2.088842038125632e-01, 2.595944562056203e-02
19, 9.029729968090749e-01, -2.099296114460734e-02, 1.013367761122750e+05, 1.922585483345585e-01, 2.624216568184660e-02
20, 8.934029287772816e-01, -2.306552703478308e-02, 1.013357993258518e+05, 1.763113889179909e-01, 2.651280239668335e-02
